sp	chrom	w	n	norm	theta
tropicalis	I	4960000	35	0.407224958949097	0.000468629723952824
tropicalis	I	4980000	31	0.408866995073892	0.000419961643930034
tropicalis	I	5e+06	30	0.410509031198686	0.00040641449412584
tropicalis	I	5020000	34	0.412151067323481	0.000455240303268458
tropicalis	I	5040000	23	0.413793103448276	0.000311584445496477
tropicalis	I	5060000	25	0.415435139573071	0.00033473551710916
tropicalis	I	5080000	32	0.417077175697865	0.000428461461899725
tropicalis	I	5100000	27	0.41871921182266	0.000361514358477893
tropicalis	I	5120000	49	0.420361247947455	0.000656081613533954
tropicalis	I	5140000	32	0.42200328407225	0.000428461461899725
tropicalis	I	5160000	23	0.423645320197044	0.000307956675740427
tropicalis	I	5180000	30	0.425287356321839	0.000401682620530992
tropicalis	I	5200000	57	0.426929392446634	0.000772187538839096
tropicalis	I	5220000	24	0.428571428571429	0.000321346096424794
tropicalis	I	5240000	27	0.430213464696223	0.000361514358477893
tropicalis	I	5260000	42	0.431855500821018	0.000562355668743389
tropicalis	I	5280000	13	0.433497536945813	0.000176112947454531
tropicalis	I	5300000	29	0.435139573070608	0.000388293199846626
tropicalis	I	5320000	29	0.436781609195402	0.000392867344321645
tropicalis	I	5340000	27	0.438423645320197	0.000361514358477893
tropicalis	I	5360000	34	0.440065681444992	0.000460603093342618
tropicalis	I	5380000	13	0.441707717569787	0.000174062468896763
tropicalis	I	5400000	29	0.443349753694581	0.000388293199846626
tropicalis	I	5420000	37	0.444991789819376	0.000495408565321557
tropicalis	I	5440000	26	0.446633825944171	0.000348124937793526
tropicalis	I	5460000	37	0.448275862068966	0.000495408565321557
tropicalis	I	5480000	22	0.44991789819376	0.000294567255056061
tropicalis	I	5500000	32	0.451559934318555	0.000428461461899725
tropicalis	I	5520000	27	0.45320197044335	0.000361514358477893
tropicalis	I	5540000	32	0.454844006568145	0.000428461461899725
tropicalis	I	5560000	20	0.456486042692939	0.000267788413687328
tropicalis	I	5580000	20	0.458128078817734	0.000267788413687328
tropicalis	I	5600000	17	0.459770114942529	0.000227620151634229
tropicalis	I	5620000	45	0.461412151067323	0.000617223209628269
tropicalis	I	5640000	42	0.463054187192118	0.000562355668743389
tropicalis	I	5660000	23	0.464696223316913	0.000307956675740427
tropicalis	I	5680000	33	0.466338259441708	0.000441850882584091
tropicalis	I	5700000	29	0.467980295566503	0.000388293199846626
tropicalis	I	5720000	16	0.469622331691297	0.000214230730949862
tropicalis	I	5740000	30	0.471264367816092	0.00040641449412584
tropicalis	I	5760000	21	0.472906403940887	0.000291849911350622
tropicalis	I	5780000	36	0.474548440065681	0.00048201914463719
tropicalis	I	5800000	23	0.476190476190476	0.000307956675740427
tropicalis	I	5820000	21	0.477832512315271	0.000281177834371694
tropicalis	I	5840000	34	0.479474548440066	0.000455240303268458
tropicalis	I	5860000	30	0.48111658456486	0.000401682620530992
tropicalis	I	5880000	14	0.482758620689655	0.000189660097258725
tropicalis	I	5900000	29	0.48440065681445	0.000388293199846626
tropicalis	I	5920000	4	0.486042692939245	5.55904593048803e-05
tropicalis	I	5940000	16	0.487684729064039	0.000214230730949862
tropicalis	I	5960000	22	0.489326765188834	0.000294567255056061
tropicalis	I	5980000	26	0.490968801313629	0.000348124937793526
tropicalis	I	6e+06	24	0.492610837438424	0.000321346096424794
tropicalis	I	6020000	19	0.494252873563218	0.000254398993002962
tropicalis	I	6040000	27	0.495894909688013	0.000361514358477893
tropicalis	I	6060000	31	0.497536945812808	0.000415072041215358
tropicalis	I	6080000	27	0.499178981937603	0.000361514358477893
tropicalis	I	6100000	25	0.500821018062397	0.00033473551710916
tropicalis	I	6120000	30	0.502463054187192	0.000401682620530992
tropicalis	I	6140000	39	0.504105090311987	0.00052218740669029
tropicalis	I	6160000	24	0.505747126436782	0.000321346096424794
tropicalis	I	6180000	21	0.507389162561576	0.000281177834371694
tropicalis	I	6200000	37	0.509031198686371	0.000495408565321557
tropicalis	I	6220000	27	0.510673234811166	0.000361514358477893
tropicalis	I	6240000	24	0.512315270935961	0.000321346096424794
tropicalis	I	6260000	30	0.513957307060755	0.000401682620530992
tropicalis	I	6280000	27	0.51559934318555	0.000361514358477893
tropicalis	I	6300000	34	0.517241379310345	0.000455240303268458
tropicalis	I	6320000	34	0.51888341543514	0.000455240303268458
tropicalis	I	6340000	34	0.520525451559934	0.000460603093342618
tropicalis	I	6360000	22	0.522167487684729	0.000294567255056061
tropicalis	I	6380000	17	0.523809523809524	0.000227620151634229
tropicalis	I	6400000	29	0.525451559934319	0.000388293199846626
tropicalis	I	6420000	25	0.527093596059113	0.00033473551710916
tropicalis	I	6440000	34	0.528735632183908	0.000460603093342618
tropicalis	I	6460000	27	0.530377668308703	0.000361514358477893
tropicalis	I	6480000	34	0.532019704433498	0.000455240303268458
tropicalis	I	6500000	47	0.533661740558292	0.000629302772165221
tropicalis	I	6520000	34	0.535303776683087	0.000455240303268458
tropicalis	I	6540000	39	0.536945812807882	0.00052218740669029
tropicalis	I	6560000	30	0.538587848932677	0.000401682620530992
tropicalis	I	6580000	35	0.540229885057471	0.000468629723952824
tropicalis	I	6600000	31	0.541871921182266	0.000415072041215358
tropicalis	I	6620000	27	0.543513957307061	0.000361514358477893
tropicalis	I	6640000	33	0.545155993431856	0.000441850882584091
tropicalis	I	6660000	42	0.54679802955665	0.000562355668743389
